Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tanzania,MtCO2e,1.6,1.6,1.6,1.6,1.7,2.5,2.8,2.6,2.4,2.3,2.8,2.8,3.1,3.3,4.72,5.12,5.41,5.1,5.32,5,6.2,7.9,10.1,10.3,10.4,11.6,10.7
Côte d'Ivoire,MtCO2e,2.7,2.7,2.7,2.9,3.1,3.2,4,4.8,4.8,6.6,6.3,6.2,6.5,5.2,5.5,5.8,5.6,5.5,6.5,6,6.3,6,8,8.5,9,9.6,10.4
Panama,MtCO2e,2.6,3,3.5,3.5,3.7,4,4.1,4.3,5.4,4.6,4.8,5.8,5.1,5.2,5.3,6.9,7.1,6.9,6.6,8,8.7,9.4,9.7,9.9,10.7,10.8,10.3
Zimbabwe,MtCO2e,16.2,17.8,18.2,16.6,15.4,15,14.4,13.4,13.6,15.5,13.3,13.6,12.4,9.9,9.7,10.3,9.7,9.7,7.4,7.5,9.4,11.1,11.4,11.7,11.6,11.7,10.3
Laos,MtCO2e,0.22,0.23,0.25,0.25,0.27,0.34,0.44,0.57,0.64,0.88,0.89,0.82,1.03,0.97,1.27,1.28,1.35,0.71,0.75,0.76,1.04,0.97,0.95,0.83,0.75,9.37,9.4
Kyrgyzstan,MtCO2e,22.7,20.5,13.3,9.8,6.3,4.5,5.6,5.6,5.7,4.5,4.4,3.8,4.7,5.3,5.2,4.9,4.9,6,7,6.5,6.1,7.3,9.5,8.9,9.1,9.9,9.3
Cambodia,MtCO2e,1.26,1.3,1.35,1.39,1.43,1.5,1.5,1.6,1.9,1.9,2,2.1,2.2,2.4,2.4,2.7,2.9,3.5,3.5,4.4,4.6,4.9,5,5.2,6,8,9.2
Honduras,MtCO2e,2.1,2.1,2.4,2.6,2.9,3.5,3.5,3.6,4.3,4.3,4.4,5.3,5.6,6.2,7,7.2,6.4,8.2,8,7.5,7.6,8.3,8.5,8.6,8.4,9.3,9.2
Georgia,MtCO2e,33.5,25.6,19.8,15.9,10.3,8,6.3,5.3,4.9,4.3,4.8,3.5,2.9,3,3.2,4.1,4.6,5.6,4.7,5.4,5.1,5.9,6.6,6.6,7.7,8.3,8.8
Luxembourg,MtCO2e,10.7,11.2,10.7,11.1,10.3,8.2,8.1,7.7,7.2,7.4,8,8.8,9.4,9.9,11.3,11.6,11.4,10.7,10.7,10.2,10.6,10.6,10.4,10,9.5,9,8.6
Nepal,MtCO2e,0.8,1.1,0.9,1.4,1.7,1.8,1.8,2.1,2.2,3,3,3.4,2.6,2.9,2.7,3,2.5,2.6,3,3.5,4,4.4,5,4.8,5.9,5.6,8.6
Afghanistan,MtCO2e,2.86,2.63,1.33,1.26,1.21,1.16,1.1,1.01,0.96,0.74,0.73,0.77,1.04,1.16,0.91,1.3,1.63,2.25,4.18,6.75,8.43,12.21,10.73,9.98,9.75,7.73,8.54
Senegal,MtCO2e,2,1.9,2.4,2.3,2.3,2.5,2.4,2.8,3.2,3.5,3.5,3.9,3.9,3.8,4.4,4.6,4.5,4.9,5.2,5.4,5.4,5.6,5.6,5.9,6.6,7.4,8.2
Moldova,MtCO2e,30.6,24.6,19.9,17,13.9,12,10.2,9.2,8.3,7.2,6.5,6.8,7,7.5,7.4,7.8,7.4,7.4,7.3,7.2,7.8,7.9,7.7,6.7,7.3,7.6,7.6
Costa Rica,MtCO2e,2.5,2.7,3.8,4,4.5,4.6,4.2,4.1,4.7,4.5,4.6,4.9,5,5.4,5.4,5.6,6.1,6.7,6.7,6.3,6.5,6.6,6.9,7.2,7.2,6.9,7.5
Cameroon,MtCO2e,2.7,2.4,2.2,6.39,7.04,6.93,6.17,6.37,6.37,6.17,6.36,6.03,5.85,5.74,6.12,6.28,6.65,7.76,7.86,8.36,8.76,7.48,6.54,6.78,7.26,7.26,7.46
Jamaica,MtCO2e,7.2,7.2,8,8.2,8.3,8.5,8.8,9.1,9.4,9.7,9.8,9.8,9.9,10.2,10.3,10.2,11.7,11.6,9.5,7.4,6.9,7.1,6.9,7.3,7,6.9,7.2
Mozambique,MtCO2e,1,0.8,1,1.3,1.1,1.1,1,1.1,1,1,1.2,1.2,1.2,1.5,1.6,1.4,1.5,2,2,2.2,2.4,2.8,2.6,3,3.9,5,7.2
Botswana,MtCO2e,2.7,2.7,3.3,3.3,3.2,3.2,2.8,3,3.7,3.8,4.1,3.9,4,4,4,4.2,4.1,4.3,4.5,4.1,3.3,3.9,5,5.4,7,7,6.9
