Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sri Lanka,MtCO2e,7.47,7.57,8.84,8.68,9.38,9.47,11.98,12,12.26,13.1,14.52,15.7,16.26,17.21,17.7,18.84,14.72,15.82,15.05,14.58,15.32,18.29,19.7,17.26,20.43,23.18,24.58
Bosnia and Herzegovina,MtCO2e,16.02,13.42,7.98,5.38,-4.78,-4.59,-3.8,0.48,2.73,2.63,6.01,13.86,14.59,15.15,15.64,16.32,18,19.04,20.8,20.64,20.91,23.91,22.03,21.89,19.47,19.6,22.38
Ghana,MtCO2e,23.22,23.05,23.56,23.64,23.89,24.17,24.54,24.72,26.6,27.09,26.22,43.77,44.97,44.67,44.16,44.62,1.32,1.91,1.3,2.69,4.11,20.35,22.42,23.36,22.67,23.4,22.1
Trinidad and Tobago,MtCO2e,14.4,13.28,12.25,12.79,13.34,13.49,13.59,14.05,14.41,14.52,15.03,16.18,16.95,15.71,16.21,20.23,22.55,24.31,23.69,22.24,24.36,23.33,22.96,23.9,23.41,21.91,21.31
Panama,MtCO2e,11.34,11.74,12.22,12.36,12.68,12.98,12.93,13.15,14.27,13.57,13.86,15.21,14.52,14.53,14.71,16.18,15.85,15.6,15.41,16.85,17.57,18.37,18.98,19.11,19.63,19.96,19.23
Guinea,MtCO2e,16.34,16.36,16.4,16.43,16.56,16.6,15.28,15.18,15.32,15.56,15.52,15.59,15.92,17.53,18.63,17.82,18.16,18.94,16.65,17.67,17.68,18.3,17.06,17.21,17.72,17.46,18.41
Estonia,MtCO2e,30.93,27.33,19.87,14.39,13.99,12.31,13.24,12.87,12.37,11.23,10.84,18.69,18.54,20.32,20.36,20.55,13.9,17.66,16.19,12.84,16.82,19.13,17.94,20.34,18.94,16.43,17.7
Côte d'Ivoire,MtCO2e,-2.03,-1.93,-1.93,-1.73,-1.63,-1.43,-0.88,0.02,0.06,1.94,1.54,-1.77,-1.66,-2.72,-2.66,-2.22,12.34,12.25,13.15,12.6,12.85,12.64,14.59,15.22,15.7,16.44,16.96
Benin,MtCO2e,15.2,15.11,15.13,15.18,15.17,15.21,15.82,16.06,16.06,16.16,16.28,12.33,12.63,12.93,13.03,13.33,14.32,14.94,14.86,15.24,15.64,15.5,15.27,15.49,15.88,16.54,16.94
Nepal,MtCO2e,34.87,35.08,35.12,35.34,35.66,35.86,35.22,35.45,35.66,36.78,36.63,32.62,31.57,32.83,31.93,32.84,5.74,5.77,6.74,8.4,8.39,8.53,10.33,10.01,11.48,9.6,15.81
Dominican Republic,MtCO2e,-2.15,-1.78,-0.42,-0.46,1.14,1.81,2.69,4.48,6.59,7.76,8.66,10.31,12.23,10.06,8.64,9.89,11.31,11.72,11.74,10.8,11.89,12.04,12.88,12.52,12.53,14.63,15.53
Senegal,MtCO2e,9.26,9.27,9.51,9.51,9.55,9.75,9.9,10.21,10.57,10.97,11.01,11.02,11.16,11.08,11.95,12.24,11.4,12.09,12.25,12.55,12.93,11.99,11.89,12.42,13,13.69,14.39
Central African Republic,MtCO2e,14.22,14.22,14.24,14.24,14.25,14.25,14.22,14.23,14.23,14.25,14.25,14.22,14.22,14.21,14.22,14.21,13.5,13.5,13.57,13.5,13.51,13.53,13.56,13.55,13.56,13.68,14.21
Somalia,MtCO2e,16.5,16.47,16.45,16.41,16.39,16.35,16.33,16.31,16.28,16.26,16.25,18.1,18.19,18.19,18.19,18.19,15.99,16.01,16,16,16.01,13.8,13.81,13.81,13.81,14.05,14.05
New Zealand,MtCO2e,-1.06,-0.77,0.97,0.48,0.84,1.08,2.11,4.48,3.94,5.33,6.17,15.4,15.26,17.14,16.48,17.86,16.46,15.55,16.58,13.5,13.36,13.36,14.8,14.5,14.83,14.73,13.9
