Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peru,MtCO2e,0.99,0.99,0.94,1.13,1.43,1.71,1.73,1.94,1.95,1.71,1.75,1.75,1.75,1.74,1.98,2.17,2.44,2.58,2.8,3.22,3.31,3.33,3.95,4.12,4.21,4.11,4.11
Tunisia,MtCO2e,1.56,1.88,1.87,2,2.14,2.29,2.11,2.04,2.11,2.23,2.58,2.6,2.71,2.7,2.96,2.96,3.08,3.11,3.29,3.3,3.49,3.04,2.93,2.96,3.63,3.79,3.79
Ukraine,MtCO2e,,,8.68,6.4,4.99,3.41,2.16,2.42,2.79,2.54,2.26,2.48,2.82,3.61,4.26,4.79,5.48,6.16,6.29,2.59,2.88,3.9,3.28,3.4,3.3,3.28,3.62
Uzbekistan,MtCO2e,,,2.49,2.37,2.1,1.54,1.43,1.5,1.59,1.5,1.48,1.68,1.69,1.79,2.13,2.27,2.35,2.55,2.83,2.9,2.92,2.79,2.79,2.87,3.02,3.39,3.39
Venezuela,MtCO2e,2.37,2.86,2.98,3.09,3.12,3.46,3.4,3.66,3.69,3.82,3.86,3.86,3.08,3.35,2.15,2.47,4.65,3.32,3.25,3.14,2.81,3.04,3.17,3.31,3.15,3.26,3.26
Romania,MtCO2e,4.45,3.2,2.91,2.83,2.77,3.15,3.2,3,2.92,2.65,2.66,2.77,2.64,2.65,2.99,3.17,3.66,4.05,4.14,3.09,2.78,3.09,3.15,2.69,2.94,3.34,3.18
Portugal,MtCO2e,3.18,3.27,3.14,3.19,3.29,3.46,3.39,3.56,3.54,3.83,3.81,3.63,3.91,3.62,4,4.09,4,4.17,4.01,3.22,3.38,2.81,2.55,2.81,3.1,2.92,2.3
Qatar,MtCO2e,0.11,0.22,0.22,0.22,0.19,0.19,0.28,0.27,0.39,0.4,0.47,0.47,0.5,0.51,0.5,0.52,0.55,0.87,1.36,1.47,1.35,1.77,1.91,1.86,2.1,2.1,2.1
Oman,MtCO2e,0.42,0.41,0.4,0.41,0.49,0.47,0.5,0.5,0.52,0.48,0.48,0.52,0.63,0.91,0.93,0.94,1.27,1.41,1.43,1.44,1.61,1.77,1.77,1.56,1.75,1.81,1.81
Senegal,MtCO2e,0.19,0.2,0.25,0.24,0.28,0.28,0.33,0.35,0.41,0.4,0.54,0.62,0.66,0.68,0.95,1.04,1.13,1.22,1.19,1.28,1.57,1.79,1.79,2.02,1.9,1.79,1.79
